A value of 0 means count cycles, otherwise selects event to count. When PERF_MODE is one of the latency counters this is the event that is used to indicate the start. Note that when counting latency it is expected that there is always an end event before another start event is seen, and there is always one and only one start event for every end event. Behavior is undefined if these are violated. Latency counters do not begin until the start trigger has been triggered.
-----------------------------------------------------------------------------------------------
Event# | Block | Signal3:0 | Description
-----------------------------------------------------------------------------------------------
0 | | 4`h1 | Cycles
1 | rdram | numbanksvld | Number of pending banks, saturates at 16 
2 | rdram | (cligrp, 1`b1) & (4(req )) | Requests per client-group 
3 | rdram | (cligrp, 1`b1) & (4(reqeob )) | Request chains per client-group 
4 | rdram | (3`b0, start0) | Transaction `start` from latency sampler 0
5 | rdram | (3`b0, end0 ) | Transaction `end` from latency sampler 0
6 | rdram | (3`b0, start1) | Transaction `start` from latency sampler 1 
7 | rdram | (3`b0, end1 ) | Transaction `end` from latency sampler 1
8 | wdram | numbanksvld | Number of pending banks, saturates at 16 
9 | wdram | (cligrp, 1`b1) & (4(req )) | Requests per client-group 
10 | wdram | (cligrp, 1`b1) & (4(reqeob )) | Request chains per client-group 
11 | wdram | (3`b0, start0) | Transaction `start` from latency sampler 0
12 | wdram | (3`b0, end0 ) | Transaction `end` from latency sampler 0
13 | wdram | (3`b0, start1) | Transaction `start` from latency sampler 1 
14 | wdram | (3`b0, end1 ) | Transaction `end` from latency sampler 1
15 | rgmi | numbanksvld | Number of pending banks, saturates at 16 
16 | rgmi | (cligrp, 1`b1) & (4(req )) | Requests per client-group 
17 | rgmi | (cligrp, 1`b1) & (4(reqeob )) | Request chains per client-group 
18 | rgmi | (3`b0, start0) | Transaction `start` from latency sampler 0
19 | rgmi | (3`b0, end0 ) | Transaction `end` from latency sampler 0
20 | rgmi | (3`b0, start1) | Transaction `start` from latency sampler 1 
21 | rgmi | (3`b0, end1 ) | Transaction `end` from latency sampler 1
22 | wgmi | numbanksvld | Number of pending banks, saturates at 16 
23 | wgmi | (cligrp, 1`b1) & (4(req )) | Requests per client-group 
24 | wgmi | (cligrp, 1`b1) & (4(reqeob )) | Request chains per client-group 
25 | wgmi | (3`b0, start0) | Transaction `start` from latency sampler 0
26 | wgmi | (3`b0, end0 ) | Transaction `end` from latency sampler 0
27 | wgmi | (3`b0, start1) | Transaction `start` from latency sampler 1 
28 | wgmi | (3`b0, end1 ) | Transaction `end` from latency sampler 1
29 | rio | (cligrp, 1`b1 ) & (4(req )) | Requests per client-group 
30 | rio | (size_p1 ) & (4(req )) | Sized (in 32 byte increments) requests
31 | rio | (size_p1 ) & (4(reqcligrp0)) | Client-group0 sized requests
32 | rio | (size_p1 ) & (4(reqcligrp1)) | Client-group1 sized requests
33 | rio | (size_p1 ) & (4(reqcligrp2)) | Client-group2 sized requests
34 | rio | (size_p1 ) & (4(reqcligrp3)) | Client-group3 sized requests
35 | rio | (3`b0, start0) | Transaction `start` from latency sampler 0
36 | rio | (3`b0, end0 ) | Transaction `end` from latency sampler 0
37 | rio | (3`b0, start1) | Transaction `start` from latency sampler 1
38 | rio | (3`b0, end1 ) | Transaction `end` from latency sampler 1
39 | wio | (cligrp, 1`b1 ) & (4(req )) | Requests per client-group 
40 | wio | (cligrp, 1`b1 ) & (4(reqeob )) | Request chains per client-group 
41 | wio | (2`b0, size_p1) & (4(req )) | Sized (in 32 byte increments) requests
42 | wio | (2`b0, size_p1) & (4(reqcligrp0)) | Client-group0 sized requests
43 | wio | (2`b0, size_p1) & (4(reqcligrp1)) | Client-group1 sized requests
44 | wio | (2`b0, size_p1) & (4(reqcligrp2)) | Client-group2 sized requests
45 | wio | (2`b0, size_p1) & (4(reqcligrp3)) | Client-group3 sized requests
