* same events on vg10/vg20/mi100
* copied from:
*   vg10: //mcip/pi/main/vml2/src/rtl/variant/greenland/gc_vml2_perf_events.txt
*   vg20: //mcip/pi/main/vml2/src/rtl/variant/vega20/gc_vml2_perf_events.txt
*   regspec is broken with only 20 events: http://adcweb02.amd.com/orlvalid/regspec/web_regspec/mi100/regspec/mi100_chip/internal/registers/register_table/utcl2/vml2pl/mc_vm_l2_perfcounter0_cfg.html

1   side0 bank0 pte cache bigk0 request
2   side0 bank0 pte cache bigk0 hit
3   side0 bank0 pte cache bigk0 miss
4   side0 bank0 pte cache bigk0 update
5   side0 bank0 pte cache 4k0 request
6   side0 bank0 pte cache 4k0 hit
7   side0 bank0 pte cache 4k0 miss
8   side0 bank0 pte cache 4k0 update
9   side0 bank0 aggregate request
10  side0 bank0 aggregate hit
11  side0 bank0 aggregate miss
12  side0 bank0 aggregate update
13  side0 bank1 pte cache bigk0 request
14  side0 bank1 pte cache bigk0 hit
15  side0 bank1 pte cache bigk0 miss
16  side0 bank1 pte cache bigk0 update
17  side0 bank1 pte cache 4k0 request
18  side0 bank1 pte cache 4k0 hit
19  side0 bank1 pte cache 4k0 miss
20  side0 bank1 pte cache 4k0 update
21  side0 bank1 aggregate request
22  side0 bank1 aggregate hit
23  side0 bank1 aggregate miss
24  side0 bank1 aggregate update
25  side0 bank2 pte cache bigk0 request
26  side0 bank2 pte cache bigk0 hit
27  side0 bank2 pte cache bigk0 miss
28  side0 bank2 pte cache bigk0 update
29  side0 bank2 pte cache 4k0 request
30  side0 bank2 pte cache 4k0 hit
31  side0 bank2 pte cache 4k0 miss
32  side0 bank2 pte cache 4k0 update
33  side0 bank2 aggregate request
34  side0 bank2 aggregate hit
35  side0 bank2 aggregate miss
36  side0 bank2 aggregate update
37  side0 bank3 pte cache bigk0 request
38  side0 bank3 pte cache bigk0 hit
39  side0 bank3 pte cache bigk0 miss
40  side0 bank3 pte cache bigk0 update
41  side0 bank3 pte cache 4k0 request
42  side0 bank3 pte cache 4k0 hit
43  side0 bank3 pte cache 4k0 miss
44  side0 bank3 pte cache 4k0 update
45  side0 bank3 aggregate request
46  side0 bank3 aggregate hit
47  side0 bank3 aggregate miss
48  side0 bank3 aggregate update
49  fault retry
50  fault no retry
51  fault interrupt
52  walker pde0 cache request
53  walker pde0 cache hit
54  walker pde0 cache miss
55  walker pde0 cache update
56  walker pde0 cache pte
57  walker pde1 cache request
58  walker pde1 cache hit
59  walker pde1 cache miss
60  walker pde1 cache update
61  walker pde1 cache pte
62  walker pde2 cache request
63  walker pde2 cache hit
64  walker pde2 cache miss
65  walker pde2 cache update
66  walker pde2 cache pte
67  walker log inval
68  walker log trans
69  walker log trans skipped
70  walker rdif request physical system
71  walker rdif request physical system start (latency)
72  walker rdif request physical system stop (latency)
73  walker rdif request other
74  walker rdif request other start (latency)
75  walker rdif request other stop (latency)
76  walker qos request
77  walker qos hit (fetch skipped)
78  walker qos miss (fetch issued)
79  walker level0 request
80  walker level1 request
81  walker level2 request
82  walker level3 request
83  walker level0 request start (latency)
84  walker level0 request stop (latency)
85  walker level1 request start (latency)
86  walker level1 request stop (latency)
87  walker level2 request start (latency)
88  walker level2 request stop (latency)
89  walker level3 request start (latency)
90  walker level3 request stop (latency)

